"t";"iL";"iG";"iSd";"slope";"intercept"
9;4;3;7;693,003;6865,774
9;4;4;7;697,488;6950,256
9;4;5;7;700,756;7017,751
9;4;0;8;696,563;6751,525
9;4;1;8;690,142;6758,659
9;4;2;8;688,934;6793,298
9;4;3;8;693,066;6866,36
9;4;4;8;697,551;6950,842
9;4;5;8;700,819;7018,338
9;5;0;0;709,488;7123,167
9;5;1;0;705,678;7145,907
9;5;2;0;707,35;7192,972
9;5;3;0;711,542;7244,954
9;5;4;0;715,633;7283,809
9;5;5;0;719,189;7302,454
9;5;0;1;705,318;7083,701
9;5;1;1;702,543;7107,003
9;5;2;1;705,168;7156,688
9;5;3;1;709,424;7215,275
9;5;4;1;713,073;7261,491
9;5;5;1;716,432;7284,209
9;5;0;2;704,183;7028,944
9;5;1;2;700,719;7049,788
9;5;2;2;702,698;7100,877
9;5;3;2;707,197;7167,82
9;5;4;2;711,029;7225,048
9;5;5;2;714,059;7258,018
9;5;0;3;702,684;6920,951
9;5;1;3;698,908;6952,761
9;5;2;3;700,585;7018,572
9;5;3;3;704,791;7095,206
9;5;4;3;708,58;7159,355
9;5;5;3;711,708;7195,383
9;5;0;4;698,152;6794,993
9;5;1;4;694,604;6817,681
9;5;2;4;696,914;6878,099
9;5;3;4;702,01;6960,197
9;5;4;4;706,536;7035,436
9;5;5;4;709,967;7088,922
9;5;0;5;696,677;6750,063
9;5;1;5;693,149;6767,846
9;5;2;5;695,427;6823,207
9;5;3;5;700,401;6905,969
9;5;4;5;704,701;6988,268
9;5;5;5;708,142;7051,83
9;5;0;6;696,581;6752,046
9;5;1;6;693,041;6769,138
9;5;2;6;695,271;6823,734
9;5;3;6;700,17;6906,416
9;5;4;6;704,397;6989,214
9;5;5;6;707,846;7053,188
9;5;0;7;696,508;6753,762
9;5;1;7;692,95;6770,975
9;5;2;7;695,17;6825,63
9;5;3;7;700,064;6908,311
9;5;4;7;704,282;6991,079
9;5;5;7;707,723;7055,004
9;5;0;8;696,412;6754,623
9;5;1;8;692,853;6771,837
9;5;2;8;695,074;6826,491
9;5;3;8;699,967;6909,172
9;5;4;8;704,185;6991,941
9;5;5;8;707,626;7055,865
9;6;0;0;710,913;7133,566
9;6;1;0;710,589;7166,177
9;6;2;0;714,672;7215,842
9;6;3;0;719,385;7261,262
9;6;4;0;723,75;7290,922
9;6;5;0;727,325;7304,494
9;6;0;1;707,254;7094,916
9;6;1;1;707,921;7128,932
9;6;2;1;712,404;7183,558
9;6;3;1;716,807;7236,665
9;6;4;1;720,859;7272,142
9;6;5;1;724,583;7287,499
9;6;0;2;705,97;7037,334
9;6;1;2;705,984;7069,677
9;6;2;2;710,158;7130,283
9;6;3;2;714,773;7194,154
9;6;4;2;718,577;7241,899
9;6;5;2;721,869;7267,044
9;6;0;3;704,101;6935,6
9;6;1;3;703,745;6981,7
9;6;2;3;707,606;7054,446
9;6;3;3;711,976;7126,764
9;6;4;3;715,916;7179,095
9;6;5;3;719,285;7206,502
9;6;0;4;699,619;6803,846
9;6;1;4;699,619;6842,053
9;6;2;4;704,226;6916,119
9;6;3;4;709,436;6996,681
9;6;4;4;713,786;7065,793
9;6;5;4;717,299;7113,101
9;6;0;5;698,23;6756,877
9;6;1;5;698,128;6789,984
9;6;2;5;702,608;6861,766
9;6;3;5;707,596;6946,159
9;6;4;5;711,75;7025,808
9;6;5;5;715,481;7082,601
9;6;0;6;698,191;6758,566
9;6;1;6;698,043;6790,959
9;6;2;6;702,457;6862,275
9;6;3;6;707,361;6946,868
9;6;4;6;711,474;7027,099
9;6;5;6;715,237;7084,283
9;6;0;7;697,99;6761,013
9;6;1;7;697,836;6793,379
9;6;2;7;702,239;6864,652
9;6;3;7;707,137;6949,19
9;6;4;7;711,261;7029,35
9;6;5;7;715,056;7086,48
9;6;0;8;697,921;6761,883
9;6;1;8;697,768;6794,248
9;6;2;8;702,171;6865,522
9;6;3;8;707,068;6950,06
9;6;4;8;711,192;7030,22
9;6;5;8;714,988;7087,349
9;7;0;0;714,78;7149,985
9;7;1;0;717,634;7187,785
9;7;2;0;722,951;7234,188
9;7;3;0;727,895;7271,562
9;7;4;0;732,201;7294,395
9;7;5;0;735,564;7306,17
9;7;0;1;711,712;7111,813
9;7;1;1;715,143;7152,601
9;7;2;1;720,392;7205,905
9;7;3;1;725,017;7250,083
9;7;4;1;729,398;7276,123
9;7;5;1;733,263;7287,696
9;7;0;2;710,346;7051,443
9;7;1;2;713,269;7094,235
9;7;2;2;718,362;7157,909
9;7;3;2;722,86;7214,625
9;7;4;2;726,746;7253,217
9;7;5;2;730,267;7272,068
9;7;0;3;708,062;6958,982
9;7;1;3;710,66;7014,449
9;7;2;3;715,395;7087,795
9;7;3;3;719,797;7151,397
9;7;4;3;723,931;7192,389
9;7;5;3;727,471;7214,299
9;7;0;4;703,609;6821,779
9;7;1;4;706,691;6874,622
9;7;2;4;712,242;6954,005
9;7;3;4;717,223;7029,513
9;7;4;4;721,429;7092,759
9;7;5;4;725,052;7132,637
9;7;0;5;701,893;6773,065
9;7;1;5;704,752;6822,637
9;7;2;5;710,187;6902,353
9;7;3;5;714,901;6984,957
9;7;4;5;719,073;7060,165
9;7;5;5;723,097;7106,707
9;7;0;6;701,848;6773,773
9;7;1;6;704,603;6822,908
9;7;2;6;709,945;6902,494
9;7;3;6;714,573;6985,585
9;7;4;6;718,751;7061,43
9;7;5;6;722,832;7108,184
9;7;0;7;701,793;6775,902
9;7;1;7;704,548;6824,972
9;7;2;7;709,911;6904,488
9;7;3;7;714,576;6987,557
9;7;4;7;718,792;7063,466
9;7;5;7;722,897;7110,343
9;7;0;8;701,69;6776,684
9;7;1;8;704,445;6825,754
9;7;2;8;709,807;6905,269
9;7;3;8;714,472;6988,338
9;7;4;8;718,688;7064,248
9;7;5;8;722,793;7111,125
9;8;0;0;721,219;7169,095
9;8;1;0;726,146;7205,852
9;8;2;0;731,851;7246,552
9;8;3;0;736,657;7277,282
9;8;4;0;740,582;7297,113
9;8;5;0;743,55;7310,158
9;8;0;1;718,591;7132,827
9;8;1;1;723,612;7174,549
9;8;2;1;729,099;7222,223
9;8;3;1;733,885;7257,368
9;8;4;1;738,291;7278,068
9;8;5;1;741,862;7290,394
9;8;0;2;717,153;7070,437
9;8;1;2;721,765;7119,609
9;8;2;2;726,995;7180,322
9;8;3;2;731,311;7228,944
9;8;4;2;735,245;7260,073
9;8;5;2;738,766;7274,74
9;8;0;3;714,433;6987,347
9;8;1;3;718,709;7046,25
9;8;2;3;723,567;7115,676
9;8;3;3;728,036;7168,303
9;8;4;3;732,242;7201,127
9;8;5;3;735,796;7219,923
9;8;0;4;710,325;6847,395
9;8;1;4;715,19;6909,526
9;8;2;4;720,802;6987,425
9;8;3;4;725,405;7058,012
9;8;4;4;729,545;7114,469
9;8;5;4;733,307;7146,276
9;8;0;5;708,06;6798,307
9;8;1;5;712,749;6859,117
9;8;2;5;718,251;6939,551
9;8;3;5;722,578;7020,482
9;8;4;5;726,863;7087,754
9;8;5;5;731,12;7122,541
9;8;0;6;707,728;6798,457
9;8;1;6;712,303;6859,026
9;8;2;6;717,758;6939,407
9;8;3;6;722,074;7020,985
9;8;4;6;726,424;7088,776
9;8;5;6;730,772;7123,433
9;8;0;7;707,655;6800,792
9;8;1;7;712,268;6861,378
9;8;2;7;717,755;6941,854
9;8;3;7;722,086;7023,551
9;8;4;7;726,434;7091,383
9;8;5;7;730,766;7125,961
9;8;0;8;707,709;6802,18
9;8;1;8;712,322;6862,766
9;8;2;8;717,809;6943,243
9;8;3;8;722,14;7024,94
9;8;4;8;726,488;7092,772
9;8;5;8;730,82;7127,35
9;9;0;0;729,935;7185,974
9;9;1;0;735,732;7218,89
9;9;2;0;741,184;7254,991
9;9;3;0;745,45;7282,136
9;9;4;0;748,874;7301,744
9;9;5;0;751,595;7315,618
9;9;0;1;727,325;7152,744
9;9;1;1;732,966;7191,492
9;9;2;1;738,406;7232,707
9;9;3;1;743,049;7262,032
9;9;4;1;747,062;7281,932
9;9;5;1;749,935;7296,252
9;9;0;2;725,947;7091,686
9;9;1;2;731,145;7141,869
9;9;2;2;736,067;7197,067
9;9;3;2;740,113;7238,907
9;9;4;2;743,951;7264,22
9;9;5;2;747,185;7276,529
9;9;0;3;722,952;7016,618
9;9;1;3;727,74;7074,73
9;9;2;3;732,46;7136,602
9;9;3;3;736,882;7179,517
9;9;4;3;740,948;7207,96
9;9;5;3;744,176;7225,969
9;9;0;4;719,107;6877,551
9;9;1;4;724,564;6942,14
9;9;2;4;729,76;7016,127
9;9;3;4;733,952;7082,292
9;9;4;4;738,039;7130,741
9;9;5;4;741,826;7155,45
9;9;0;5;716,153;6829,668
9;9;1;5;721,51;6894,198
9;9;2;5;726,522;6973,838
9;9;3;5;730,507;7052,29
9;9;4;5;734,936;7108,135
9;9;5;5;739,403;7131,168
9;9;0;6;715,444;6831,062
9;9;1;6;720,817;6895,068
9;9;2;6;725,837;6975,063
9;9;3;6;729,834;7054,434
9;9;4;6;734,335;7110,507
9;9;5;6;738,899;7132,848
9;9;0;7;715,437;6833,361
9;9;1;7;720,817;6897,439
9;9;2;7;725,828;6977,413
9;9;3;7;729,805;7056,671
9;9;4;7;734,292;7112,581
9;9;5;7;738,85;7134,775
9;9;0;8;715,481;6834,24
9;9;1;8;720,86;6898,318
9;9;2;8;725,871;6978,292
9;9;3;8;729,849;7057,55
9;9;4;8;734,335;7113,46
9;9;5;8;738,893;7135,653
9;10;0;0;740,189;7197,687
9;10;1;0;745,801;7228,346
9;10;2;0;750,481;7261,847
9;10;3;0;754,172;7287,1
9;10;4;0;757,395;7305,924
9;10;5;0;760,216;7317,287
9;10;0;1;737,288;7168,442
9;10;1;1;742,894;7203,8
9;10;2;1;747,9;7240,498
9;10;3;1;752,077;7267,391
9;10;4;1;755,44;7287,533
9;10;5;1;757,925;7300,24
9;10;0;2;735,876;7112,831
9;10;1;2;740,925;7160,625
9;10;2;2;745,25;7210,745
9;10;3;2;749,054;7246,363
9;10;4;2;752,707;7266,787
9;10;5;2;755,779;7276,321
9;10;0;3;732,582;7042,954
9;10;1;3;737,287;7097,376
9;10;2;3;741,739;7150,914
9;10;3;3;745,926;7187,888
9;10;4;3;749,538;7214,704
9;10;5;3;752,305;7232,183
9;10;0;4;729,34;6907,996
9;10;1;4;734,65;6970,575
9;10;2;4;739,103;7041,54
9;10;3;4;742,898;7102,507
9;10;4;4;746,763;7143,221
9;10;5;4;750,326;7162,583
9;10;0;5;725,729;6860,844
9;10;1;5;730,908;6925,368
9;10;2;5;735,195;7005,571
9;10;3;5;738,884;7078,216
9;10;4;5;743,362;7121,1
9;10;5;5;747,929;7133,771
9;10;0;6;724,896;6863,166
9;10;1;6;730,125;6927,403
9;10;2;6;734,304;7008,851
9;10;3;6;737,986;7082,199
9;10;4;6;742,629;7124,217
9;10;5;6;747,36;7135,119
9;10;0;7;724,828;6864,816
9;10;1;7;730,043;6928,885
9;10;2;7;734,207;7010,198
9;10;3;7;737,887;7083,439
9;10;4;7;742,539;7125,405
9;10;5;7;747,282;7136,343
9;10;0;8;724,831;6866,838
9;10;1;8;730,046;6930,907
9;10;2;8;734,21;7012,22
9;10;3;8;737,889;7085,461
9;10;4;8;742,542;7127,426
9;10;5;8;747,284;7138,364
9;11;0;0;750,989;7206,881
9;11;1;0;755,795;7236,974
9;11;2;0;759,811;7267,786
9;11;3;0;763,318;7290,772
9;11;4;0;766,483;7307,326
9;11;5;0;769,167;7316,399
9;11;0;1;748,021;7180,582
9;11;1;1;753,044;7214,258
9;11;2;1;757,443;7248,133
9;11;3;1;761,086;7273,267
9;11;4;1;764,012;7291,03
9;11;5;1;766,498;7300,625
9;11;0;2;746,399;7131,878
9;11;1;2;750,888;7176,662
9;11;2;2;754,709;7221,739
9;11;3;2;758,407;7250,802
9;11;4;2;761,886;7266,598
9;11;5;2;764,847;7273,395
9;11;0;3;743,13;7064,554
9;11;1;3;747,464;7114,366
9;11;2;3;751,518;7161,213
9;11;3;3;755,196;7195,207
9;11;4;3;758,224;7220,813
9;11;5;3;760,73;7236,403
9;11;0;4;740,608;6934,496
9;11;1;4;745,276;6994,62
9;11;2;4;748,86;7063,405
9;11;3;4;752,146;7118,546
9;11;4;4;755,608;7152,39
9;11;5;4;758,961;7167,414
9;11;0;5;736,231;6889,713
9;11;1;5;740,823;6954,569
9;11;2;5;744,234;7034,772
9;11;3;5;747,48;7098,458
9;11;4;5;751,934;7128,676
9;11;5;5;756,609;7133,703
9;11;0;6;735,034;6892,851
9;11;1;6;739,387;6958,906
9;11;2;6;742,535;7041,028
9;11;3;6;746,065;7103,491
9;11;4;6;750,9;7131,064
9;11;5;6;755,762;7133,442
9;11;0;7;734,933;6894,863
9;11;1;7;739,281;6960,876
9;11;2;7;742,427;7043,065
9;11;3;7;745,976;7105,575
9;11;4;7;750,824;7133,251
9;11;5;7;755,681;7135,743
9;11;0;8;735,018;6896,048
9;11;1;8;739,366;6962,061
9;11;2;8;742,512;7044,251
9;11;3;8;746,062;7106,761
9;11;4;8;750,909;7134,437
9;11;5;8;755,766;7136,93
9;12;0;0;761,744;7215,887
9;12;1;0;765,93;7244,073
9;12;2;0;769,634;7271,964
9;12;3;0;772,831;7293,544
9;12;4;0;775,501;7309,2
9;12;5;0;777,641;7319,563
9;12;0;1;758,881;7191,335
9;12;1;1;763,246;7223,664
9;12;2;1;767,125;7254,374
9;12;3;1;770,249;7276,775
9;12;4;1;772,898;7292,114
9;12;5;1;775,269;7302,003
9;12;0;2;757,333;7147,123
9;12;1;2;761,229;7188,949
9;12;2;2;764,769;7227,724
9;12;3;2;768,225;7250,856
9;12;4;2;771,277;7263,941
9;12;5;2;773,582;7272,438
9;12;0;3;754,114;7081,459
9;12;1;3;757,956;7126,549
9;12;2;3;761,472;7168,668
9;12;3;3;764,406;7201,342
9;12;4;3;766,924;7225,191
9;12;5;3;769,202;7238,805
9;12;0;4;752,315;6957,305
9;12;1;4;756,049;7016,606
9;12;2;4;758,724;7082,62
9;12;3;4;761,436;7131,076
9;12;4;4;764,629;7158,199
9;12;5;4;767,962;7170,133
9;12;0;5;747,248;6915,221
9;12;1;5;751,029;6981,232
9;12;2;5;753,333;7059,018
9;12;3;5;756,257;7111,444
9;12;4;5;760,835;7130,582
9;12;5;5;765,625;7131,732
9;12;0;6;745,261;6921,945
9;12;1;6;748,407;6991,31
9;12;2;6;750,727;7069,479
9;12;3;6;754,412;7117,835
9;12;4;6;759,397;7133,371
9;12;5;6;764,267;7131,375
9;12;0;7;745,149;6923,871
9;12;1;7;748,273;6993,514
9;12;2;7;750,592;7071,848
9;12;3;7;754,297;7120,162
9;12;4;7;759,277;7135,607
9;12;5;7;764,126;7133,452
9;12;0;8;745,17;6925,327
9;12;1;8;748,294;6994,97
9;12;2;8;750,614;7073,305
9;12;3;8;754,319;7121,619
9;12;4;8;759,299;7137,064
9;12;5;8;764,147;7134,908
9;13;0;0;772,78;7222,751
9;13;1;0;776,491;7249,329
9;13;2;0;779,547;7276,98
9;13;3;0;781,989;7298,684
9;13;4;0;783,989;7314,891
9;13;5;0;785,451;7327,007
9;13;0;1;769,838;7200,835
9;13;1;1;773,638;7230,794
9;13;2;1;776,771;7259,143
9;13;3;1;779,318;7280,209
9;13;4;1;781,61;7295,917
9;13;5;1;783,386;7307,479
9;13;0;2;768,388;7159,993
9;13;1;2;771,753;7198,354
9;13;2;2;774,848;7231,168
9;13;3;2;777,624;7251,273
9;13;4;2;779,777;7265,745
9;13;5;2;781,263;7277,842
9;13;0;3;765,903;7093,565
9;13;1;3;769,259;7133,908
9;13;2;3;771,746;7174,804
9;13;3;3;773,687;7207,745
9;13;4;3;775,7;7230,007
9;13;5;3;777,673;7242,937
9;13;0;4;764,113;6979,929
9;13;1;4;766,718;7039,139
9;13;2;4;768,53;7100,293
9;13;3;4;770,948;7140,456
9;13;4;4;774,02;7162,618
9;13;5;4;777,026;7174,062
9;13;0;5;759,135;6937,424
9;13;1;5;761,487;7006,069
9;13;2;5;763,02;7076,707
9;13;3;5;766,097;7116,23
9;13;4;5;770,574;7129,297
9;13;5;5;775,047;7130,768
9;13;0;6;755,193;6951,134
9;13;1;6;757,31;7021,196
9;13;2;6;759,279;7089,989
9;13;3;6;763,169;7124,537
9;13;4;6;768,032;7132,83
9;13;5;6;772,892;7128,614
9;13;0;7;754,979;6954,497
9;13;1;7;757,055;7024,756
9;13;2;7;759,053;7093,262
9;13;3;7;763,013;7127,205
9;13;4;7;767,884;7135,218
9;13;5;7;772,74;7130,84
9;13;0;8;755,066;6955,129
9;13;1;8;757,142;7025,389
9;13;2;8;759,139;7093,894
9;13;3;8;763,1;7127,835
9;13;4;8;767,971;7135,848
9;13;5;8;772,826;7131,469
9;14;0;0;784,288;7227,36
9;14;1;0;787,082;7255,616
9;14;2;0;789,228;7283,542
9;14;3;0;790,96;7304,673
9;14;4;0;792,372;7320,053
9;14;5;0;793,468;7330,358
9;14;0;1;781,362;7207,257
9;14;1;1;784,176;7237,009
9;14;2;1;786,449;7264,946
9;14;3;1;788,508;7285,536
9;14;4;1;790,25;7300,37
9;14;5;1;791,483;7310,025
9;14;0;2;779,711;7171,529
9;14;1;2;782,36;7206,649
9;14;2;2;784,683;7235,018
9;14;3;2;786,704;7253,785
9;14;4;2;788,35;7268,923
9;14;5;2;789,759;7281,341
9;14;0;3;778,739;7097,558
9;14;1;3;780,604;7139,12
9;14;2;3;781,557;7182,445
9;14;3;3;782,728;7214,533
9;14;4;3;784,406;7234,935
9;14;5;3;786,155;7247,767
9;14;0;4;775,994;7001,352
9;14;1;4;777,514;7059,001
9;14;2;4;778,929;7111,827
9;14;3;4;781,131;7145,205
9;14;4;4;783,649;7165,756
9;14;5;4;785,785;7178,658
9;14;0;5;771,53;6957,952
9;14;1;5;772,811;7024,64
9;14;2;5;774,34;7082,796
9;14;3;5;776,893;7115,491
9;14;4;5;780,488;7129,283
9;14;5;5;784,289;7133,029
9;14;0;6;765,972;6975,301
9;14;1;6;767,421;7041,476
9;14;2;6;769,131;7099,197
9;14;3;6;772,668;7124,833
9;14;4;6;777,145;7130,289
9;14;5;6;782,044;7124,189
9;14;0;7;765,012;6982,571
9;14;1;7;766,438;7048,763
9;14;2;7;768,662;7103,696
9;14;3;7;772,518;7127,519
9;14;4;7;776,992;7132,854
9;14;5;7;781,908;7126,497
9;14;0;8;764,949;6983,812
9;14;1;8;766,375;7050,004
9;14;2;8;768,6;7104,93
9;14;3;8;772,457;7128,749
9;14;4;8;776,931;7134,083
9;14;5;8;781,847;7127,727
9;15;0;0;796,007;7233,113
9;15;1;0;797,646;7263,437
9;15;2;0;798,93;7290,152
9;15;3;0;800,155;7308,344
9;15;4;0;801,32;7320,426
9;15;5;0;802,576;7327,771
9;15;0;1;793,157;7212,21
9;15;1;1;794,968;7242,823
