t;iL;iG;iSd;slope
0;8;4;0;450
0;8;4;1;450
0;8;4;2;450
0;8;4;3;450
0;8;4;4;450
0;8;4;5;450
0;8;4;6;450
0;8;4;7;450
0;8;4;8;450
0;8;5;0;450
0;8;5;1;450
0;8;5;2;450
0;8;5;3;450
0;8;5;4;450
0;8;5;5;450
0;8;5;6;450
0;8;5;7;450
0;8;5;8;450
0;9;0;0;450
0;9;0;1;450
0;9;0;2;450
0;9;0;3;450
0;9;0;4;450
0;9;0;5;450
0;9;0;6;450
0;9;0;7;450
0;9;0;8;450
0;9;1;0;450
0;9;1;1;450
0;9;1;2;450
0;9;1;3;450
0;9;1;4;450
0;9;1;5;450
0;9;1;6;450
0;9;1;7;450
0;9;1;8;450
0;9;2;0;450
0;9;2;1;450
0;9;2;2;450
0;9;2;3;450
0;9;2;4;450
0;9;2;5;450
0;9;2;6;450
0;9;2;7;450
0;9;2;8;450
0;9;3;0;450
0;9;3;1;450
0;9;3;2;450
0;9;3;3;450
0;9;3;4;450
0;9;3;5;450
0;9;3;6;450
0;9;3;7;450
0;9;3;8;450
0;9;4;0;450
0;9;4;1;450
0;9;4;2;450
0;9;4;3;450
0;9;4;4;450
0;9;4;5;450
0;9;4;6;450
0;9;4;7;450
0;9;4;8;450
0;9;5;0;450
0;9;5;1;450
0;9;5;2;450
0;9;5;3;450
0;9;5;4;450
0;9;5;5;450
0;9;5;6;450
0;9;5;7;450
0;9;5;8;450
0;10;0;0;450
0;10;0;1;450
0;10;0;2;450
0;10;0;3;450
0;10;0;4;450
0;10;0;5;450
0;10;0;6;450
0;10;0;7;450
0;10;0;8;450
0;10;1;0;450
0;10;1;1;450
0;10;1;2;450
0;10;1;3;450
0;10;1;4;450
0;10;1;5;450
0;10;1;6;450
0;10;1;7;450
0;10;1;8;450
0;10;2;0;450
0;10;2;1;450
0;10;2;2;450
0;10;2;3;450
0;10;2;4;450
0;10;2;5;450
0;10;2;6;450
0;10;2;7;450
0;10;2;8;450
0;10;3;0;450
0;10;3;1;397.585
0;10;3;2;450
0;10;3;3;450
0;10;3;4;450
0;10;3;5;450
0;10;3;6;450
0;10;3;7;450
0;10;3;8;450
0;10;4;0;450
0;10;4;1;450
0;10;4;2;450
0;10;4;3;450
0;10;4;4;450
0;10;4;5;450
0;10;4;6;450
0;10;4;7;450
0;10;4;8;450
0;10;5;0;450
0;10;5;1;450
0;10;5;2;450
0;10;5;3;450
0;10;5;4;450
0;10;5;5;450
0;10;5;6;450
0;10;5;7;450
0;10;5;8;450
0;11;0;0;450
0;11;0;1;450
0;11;0;2;450
0;11;0;3;450
0;11;0;4;450
0;11;0;5;450
0;11;0;6;450
0;11;0;7;450
0;11;0;8;450
0;11;1;0;450
0;11;1;1;450
0;11;1;2;450
0;11;1;3;450
0;11;1;4;450
0;11;1;5;450
0;11;1;6;450
0;11;1;7;450
0;11;1;8;450
0;11;2;0;450
0;11;2;1;450
0;11;2;2;450
0;11;2;3;450
0;11;2;4;450
0;11;2;5;450
0;11;2;6;450
0;11;2;7;450
0;11;2;8;450
0;11;3;0;450
0;11;3;1;450
0;11;3;2;450
0;11;3;3;450
0;11;3;4;450
0;11;3;5;450
0;11;3;6;450
0;11;3;7;450
0;11;3;8;450
0;11;4;0;450
0;11;4;1;450
0;11;4;2;450
0;11;4;3;450
0;11;4;4;450
0;11;4;5;450
0;11;4;6;450
0;11;4;7;450
0;11;4;8;450
0;11;5;0;450
0;11;5;1;450
0;11;5;2;450
0;11;5;3;450
0;11;5;4;450
0;11;5;5;450
0;11;5;6;450
0;11;5;7;450
0;11;5;8;450
0;12;0;0;450
0;12;0;1;450
0;12;0;2;450
0;12;0;3;450
0;12;0;4;450
0;12;0;5;450
0;12;0;6;450
0;12;0;7;450
0;12;0;8;450
0;12;1;0;450
0;12;1;1;450
0;12;1;2;450
0;12;1;3;450
0;12;1;4;450
0;12;1;5;450
0;12;1;6;450
0;12;1;7;450
0;12;1;8;450
0;12;2;0;450
0;12;2;1;450
0;12;2;2;450
0;12;2;3;450
0;12;2;4;450
0;12;2;5;450
0;12;2;6;450
0;12;2;7;450
0;12;2;8;450
0;12;3;0;450
0;12;3;1;450
0;12;3;2;450
0;12;3;3;450
0;12;3;4;450
0;12;3;5;450
0;12;3;6;450
0;12;3;7;450
0;12;3;8;450
0;12;4;0;450
0;12;4;1;450
0;12;4;2;450
0;12;4;3;450
0;12;4;4;450
0;12;4;5;450
0;12;4;6;450
0;12;4;7;450
0;12;4;8;450
0;12;5;0;450
0;12;5;1;450
0;12;5;2;450
0;12;5;3;450
0;12;5;4;450
0;12;5;5;450
0;12;5;6;450
0;12;5;7;450
0;12;5;8;450
0;13;0;0;450
0;13;0;1;450
0;13;0;2;450
0;13;0;3;450
0;13;0;4;450
0;13;0;5;450
0;13;0;6;450
0;13;0;7;450
0;13;0;8;450
0;13;1;0;450
0;13;1;1;450
0;13;1;2;450
0;13;1;3;450
0;13;1;4;450
0;13;1;5;450
0;13;1;6;450
0;13;1;7;450
0;13;1;8;450
0;13;2;0;450
0;13;2;1;450
0;13;2;2;450
0;13;2;3;450
0;13;2;4;450
0;13;2;5;450
0;13;2;6;450
0;13;2;7;450
0;13;2;8;450
0;13;3;0;450
0;13;3;1;450
