"t";"iL";"iG";"iSd";"slope";"intercept"
9;4;1;5;540,47;-6044,241
9;4;2;5;547,996;-6051,334
9;4;3;5;557,815;-6020,66
9;4;4;5;566,952;-5986,091
9;4;5;5;574,367;-5967,475
9;4;0;6;543,06;-6041,675
9;4;1;6;545,244;-6073,621
9;4;2;6;550,802;-6070,669
9;4;3;6;558,69;-6028,97
9;4;4;6;567,15;-5989,625
9;4;5;6;574,799;-5972,051
9;4;0;7;541,651;-6031,623
9;4;1;7;541,85;-6052,059
9;4;2;7;547,617;-6049,393
9;4;3;7;557,024;-6015,674
9;4;4;7;566,633;-5983,045
9;4;5;7;574,881;-5969,181
9;4;0;8;547,923;-6068,939
9;4;1;8;546,093;-6078,161
9;4;2;8;549,155;-6059,473
9;4;3;8;557,165;-6017,043
9;4;4;8;566,486;-5982,585
9;4;5;8;574,735;-5968,73
9;5;0;0;556,084;-5733,901
9;5;1;0;563,743;-5775,722
9;5;2;0;572,901;-5784,567
9;5;3;0;582,865;-5776,482
9;5;4;0;593,725;-5777,619
9;5;5;0;603,224;-5788,346
9;5;0;1;555,226;-5780,829
9;5;1;1;562,134;-5814,156
9;5;2;1;571,196;-5812,688
9;5;3;1;580,888;-5795,964
9;5;4;1;591,153;-5792,063
9;5;5;1;601,105;-5805,998
9;5;0;2;556,576;-5829,636
9;5;1;2;562,148;-5857,696
9;5;2;2;570,227;-5853,869
9;5;3;2;579,192;-5834,771
9;5;4;2;588,592;-5822,487
9;5;5;2;598,166;-5826,329
9;5;0;3;553,229;-5904,303
9;5;1;3;560,219;-5941,806
9;5;2;3;568,583;-5933,536
9;5;3;3;577,182;-5896,388
9;5;4;3;586,647;-5873,716
9;5;5;3;595,9;-5874,727
9;5;0;4;553,275;-6039,733
9;5;1;4;558,542;-6060,002
9;5;2;4;566,665;-6041,472
9;5;3;4;575,243;-5998,867
9;5;4;4;583,815;-5966,558
9;5;5;4;592,02;-5953,374
9;5;0;5;554,73;-6100,216
9;5;1;5;557,551;-6105,003
9;5;2;5;565,809;-6083,183
9;5;3;5;574,773;-6040,99
9;5;4;5;582,712;-6007,242
9;5;5;5;589,665;-5987,487
9;5;0;6;557,762;-6115,855
9;5;1;6;562,18;-6132,51
9;5;2;6;568,028;-6098,847
9;5;3;6;575,196;-6045,626
9;5;4;6;583,03;-6010,005
9;5;5;6;590,407;-5993,367
9;5;0;7;554,773;-6101,031
9;5;1;7;556,673;-6102,36
9;5;2;7;563,766;-6073,077
9;5;3;7;573,017;-6030,588
9;5;4;7;581,908;-6001,166
9;5;5;7;589,639;-5986,827
9;5;0;8;557,42;-6114,994
9;5;1;8;558,434;-6111,803
9;5;2;8;564,478;-6076,29
9;5;3;8;573,022;-6029,316
9;5;4;8;581,915;-5999,909
9;5;5;8;589,648;-5985,576
9;6;0;0;579,099;-5831,712
9;6;1;0;586,223;-5844,664
9;6;2;0;593,415;-5826,659
9;6;3;0;602,487;-5813,018
9;6;4;0;611,642;-5809,609
9;6;5;0;620,081;-5819,242
9;6;0;1;578,971;-5880,715
9;6;1;1;585,748;-5883,751
9;6;2;1;593,557;-5861,46
9;6;3;1;601,381;-5837,633
9;6;4;1;609,933;-5830,953
9;6;5;1;618,507;-5841,249
9;6;0;2;576,323;-5910,987
9;6;1;2;583,019;-5918,465
9;6;2;2;589,922;-5892,836
9;6;3;2;597,77;-5865,709
9;6;4;2;607,133;-5854,53
9;6;5;2;616,407;-5859,082
9;6;0;3;576,509;-6008,469
9;6;1;3;581,296;-6003,14
9;6;2;3;587,752;-5962,783
9;6;3;3;595,433;-5920,538
9;6;4;3;604,451;-5903,35
9;6;5;3;613,242;-5905,662
9;6;0;4;573,795;-6121,847
9;6;1;4;580,257;-6119,245
9;6;2;4;586,31;-6070,739
9;6;3;4;593,677;-6023,694
9;6;4;4;602,101;-5996,805
9;6;5;4;610,345;-5985,897
9;6;0;5;571,528;-6161,961
9;6;1;5;578,444;-6158,52
9;6;2;5;586,146;-6116,143
9;6;3;5;593,285;-6069,206
9;6;4;5;599,985;-6034,196
9;6;5;5;606,694;-6011,98
9;6;0;6;579,117;-6208,374
9;6;1;6;580,433;-6176,975
9;6;2;6;585,126;-6116,125
9;6;3;6;592,656;-6068,519
9;6;4;6;600,623;-6041,062
9;6;5;6;607,675;-6024,465
9;6;0;7;572,509;-6174,531
9;6;1;7;574,997;-6147,62
9;6;2;7;581,269;-6092,673
9;6;3;7;589,661;-6049,089
9;6;4;7;598,218;-6025,162
9;6;5;7;605,513;-6009,694
9;6;0;8;571,824;-6170,241
9;6;1;8;574,898;-6145,989
9;6;2;8;581,577;-6093,439
9;6;3;8;589,668;-6047,95
9;6;4;8;598,227;-6024,032
9;6;5;8;605,522;-6008,566
9;7;0;0;603,668;-5907,762
9;7;1;0;608,431;-5890,942
9;7;2;0;614,658;-5864,936
9;7;3;0;621,836;-5845,974
9;7;4;0;629,278;-5839,239
9;7;5;0;636,977;-5850,2
9;7;0;1;607,991;-5973,322
9;7;1;1;610,777;-5938,301
9;7;2;1;616,085;-5903,928
9;7;3;1;621,826;-5876,649
9;7;4;1;629,148;-5870,504
9;7;5;1;636,515;-5877,628
9;7;0;2;604,19;-6009,553
9;7;1;2;605,661;-5969,308
9;7;2;2;611,225;-5931,424
9;7;3;2;618,188;-5901,687
9;7;4;2;626,109;-5886,902
9;7;5;2;633,548;-5887,281
9;7;0;3;597,255;-6068,225
9;7;1;3;601,915;-6038,787
9;7;2;3;607,488;-5985,594
9;7;3;3;614,941;-5949,539
9;7;4;3;623,377;-5937,139
9;7;5;3;631,234;-5938,746
9;7;0;4;598,073;-6196,039
9;7;1;4;601,56;-6151,288
9;7;2;4;608,236;-6101,125
9;7;3;4;615,755;-6063,821
9;7;4;4;623,188;-6037,605
9;7;5;4;630,008;-6022,012
9;7;0;5;600,395;-6260,446
9;7;1;5;601,773;-6204,841
9;7;2;5;606,664;-6145,69
9;7;3;5;612,29;-6099,047
9;7;4;5;618,844;-6065,149
9;7;5;5;625,718;-6044,875
9;7;0;6;593,277;-6230,276
9;7;1;6;598,914;-6197,22
9;7;2;6;606,052;-6145,602
9;7;3;6;613,477;-6108,118
9;7;4;6;619,841;-6077,604
9;7;5;6;625,115;-6052,091
9;7;0;7;599,179;-6267,768
9;7;1;7;599,508;-6208,543
9;7;2;7;602,748;-6132,781
9;7;3;7;609,034;-6086,02
9;7;4;7;616,885;-6061,822
9;7;5;7;623,872;-6044,936
9;7;0;8;603,252;-6288,229
9;7;1;8;604,298;-6233,223
9;7;2;8;606,761;-6155,097
9;7;3;8;611,168;-6098,028
9;7;4;8;616,96;-6061,001
9;7;5;8;623,788;-6043,103
9;8;0;0;635,552;-5994,655
9;8;1;0;634,321;-5947,975
9;8;2;0;635,986;-5899,839
9;8;3;0;641,762;-5879,073
9;8;4;0;648,598;-5877,041
9;8;5;0;655,599;-5890,704
9;8;0;1;632,833;-6022,62
9;8;1;1;632,881;-5969,605
9;8;2;1;637,36;-5934,42
9;8;3;1;643,143;-5916,001
9;8;4;1;649,48;-5911,793
9;8;5;1;655,579;-5916,521
9;8;0;2;623,685;-6033,951
9;8;1;2;628,232;-6003,243
9;8;2;2;633,072;-5965,393
9;8;3;2;638,187;-5932,496
9;8;4;2;644,082;-5915,177
9;8;5;2;650,34;-5915,855
9;8;0;3;631,264;-6161,185
9;8;1;3;628,971;-6094,229
9;8;2;3;629,875;-6018,905
9;8;3;3;636,178;-5988,053
9;8;4;3;642,955;-5975,705
9;8;5;3;648,955;-5970,623
9;8;0;4;624,734;-6247,17
9;8;1;4;626,972;-6185,746
9;8;2;4;632,937;-6140,186
9;8;3;4;638,48;-6102,9
9;8;4;4;643,797;-6071,769
9;8;5;4;648,969;-6051,637
9;8;0;5;634,299;-6334,63
9;8;1;5;631,63;-6269,029
9;8;2;5;629,536;-6183,061
9;8;3;5;633,624;-6133,935
9;8;4;5;639,484;-6100,215
9;8;5;5;644,901;-6076,064
9;8;0;6;632,02;-6342,468
9;8;1;6;629,201;-6269,829
9;8;2;6;628,969;-6189,834
9;8;3;6;632,247;-6139,431
9;8;4;6;636,386;-6097,855
9;8;5;6;641,065;-6069,657
9;8;0;7;619,446;-6301,131
9;8;1;7;619,19;-6226,694
9;8;2;7;623,661;-6163,643
9;8;3;7;630,653;-6129,926
9;8;4;7;637,225;-6099,872
9;8;5;7;642,809;-6077,236
9;8;0;8;615,551;-6284,4
9;8;1;8;617,845;-6218,117
9;8;2;8;623,512;-6161,585
9;8;3;8;630,644;-6128,736
9;8;4;8;637,221;-6098,706
9;8;5;8;642,807;-6076,085
9;9;0;0;660,685;-6032,219
9;9;1;0;659,015;-5987,864
9;9;2;0;658,529;-5933,352
9;9;3;0;662,778;-5911,732
9;9;4;0;668,752;-5916,253
9;9;5;0;674,223;-5927,647
9;9;0;1;664,22;-6075,059
9;9;1;1;662,411;-6030,171
9;9;2;1;661,091;-5974,518
9;9;3;1;663,558;-5945,275
9;9;4;1;669,157;-5943,946
9;9;5;1;674,742;-5951,778
9;9;0;2;656,927;-6112,595
9;9;1;2;654,917;-6058,528
9;9;2;2;653,987;-5996,128
9;9;3;2;656,866;-5957,381
9;9;4;2;663,24;-5950,694
9;9;5;2;670,284;-5960,851
9;9;0;3;654,462;-6189,349
9;9;1;3;652,274;-6118,579
9;9;2;3;652,396;-6052,853
9;9;3;3;656,432;-6021,783
9;9;4;3;661,555;-6005,81
9;9;5;3;666,782;-5997,755
9;9;0;4;655,721;-6295,966
9;9;1;4;653,637;-6224,893
9;9;2;4;654,606;-6162,816
9;9;3;4;658,322;-6123,827
9;9;4;4;662,345;-6091,318
9;9;5;4;666,545;-6070,274
9;9;0;5;652,768;-6342,783
9;9;1;5;650,231;-6271,558
9;9;2;5;650,739;-6203,233
9;9;3;5;654,309;-6158,974
9;9;4;5;658,377;-6121,219
9;9;5;5;662,46;-6095,083
9;9;0;6;660,459;-6380,166
9;9;1;6;657,943;-6317,702
9;9;2;6;655,299;-6248,01
9;9;3;6;654,113;-6181,847
9;9;4;6;655,588;-6124,749
9;9;5;6;659,513;-6094,367
9;9;0;7;651,472;-6361,637
9;9;1;7;649,574;-6292,23
9;9;2;7;649,262;-6219,444
9;9;3;7;651,686;-6165,655
9;9;4;7;654,961;-6120,568
9;9;5;7;658,739;-6092,944
9;9;0;8;647,363;-6353,931
9;9;1;8;647,103;-6281,232
9;9;2;8;648,805;-6215,803
9;9;3;8;651,861;-6165,61
9;9;4;8;655,219;-6121,064
9;9;5;8;658,736;-6091,802
9;10;0;0;685,987;-6050,741
9;10;1;0;684,867;-6021,047
9;10;2;0;683,428;-5977,778
9;10;3;0;683,514;-5946,931
9;10;4;0;686,558;-5942,258
9;10;5;0;691,273;-5952,267
9;10;0;1;682,814;-6078,917
9;10;1;1;681,164;-6036,196
9;10;2;1;680,345;-5990,155
9;10;3;1;682,676;-5967,492
9;10;4;1;687,571;-5969,792
9;10;5;1;692,307;-5978,997
9;10;0;2;684,633;-6135,111
9;10;1;2;683,312;-6100,725
9;10;2;2;681,527;-6052,822
9;10;3;2;680,945;-6006,974
9;10;4;2;684,632;-5993,075
9;10;5;2;689,915;-6000,441
9;10;0;3;681,449;-6211,229
9;10;1;3;679,576;-6162,855
9;10;2;3;677,64;-6104,802
9;10;3;3;677,544;-6057,766
9;10;4;3;680,445;-6031,326
9;10;5;3;685,349;-6026,012
9;10;0;4;680,319;-6312,139
9;10;1;4;678,28;-6257,551
9;10;2;4;676,838;-6194,491
9;10;3;4;677,26;-6140,945
9;10;4;4;679,343;-6101,157
9;10;5;4;683,083;-6082,597
9;10;0;5;681,242;-6375,433
9;10;1;5;679,104;-6319,727
9;10;2;5;676,979;-6254,536
9;10;3;5;675,943;-6191,237
9;10;4;5;676,595;-6139,639
9;10;5;5;678,911;-6108,298
9;10;0;6;680,223;-6378,829
9;10;1;6;678,254;-6327,167
9;10;2;6;676,096;-6268,526
9;10;3;6;674,413;-6200,012
9;10;4;6;675,654;-6145,991
9;10;5;6;678,994;-6120,311
9;10;0;7;670,493;-6365,052
9;10;1;7;668,241;-6299,295
9;10;2;7;667,652;-6234,713
9;10;3;7;668,619;-6178,785
9;10;4;7;670,582;-6130,976
9;10;5;7;673,42;-6102,726
9;10;0;8;672,573;-6377,345
9;10;1;8;670,924;-6312,672
9;10;2;8;670,386;-6249,89
9;10;3;8;671,169;-6193,63
9;10;4;8;672,571;-6142,805
9;10;5;8;674,692;-6110,324
9;11;0;0;709,339;-6060,485
9;11;1;0;708,711;-6038,676
9;11;2;0;708,058;-6015,976
9;11;3;0;707,562;-5999,622
9;11;4;0;707,322;-5986,626
9;11;5;0;707,973;-5975,925
9;11;0;1;706,342;-6100,918
9;11;1;1;705,066;-6067,902
9;11;2;1;703,974;-6034,516
9;11;3;1;703,621;-6007,95
9;11;4;1;704,96;-5994,957
9;11;5;1;707,948;-5995,156
9;11;0;2;706,894;-6147,635
9;11;1;2;705,891;-6118,346
9;11;2;2;704,604;-6081,254
9;11;3;2;703,786;-6050,083
9;11;4;2;703,974;-6031,395
9;11;5;2;705,175;-6022,656
9;11;0;3;708,543;-6219,919
9;11;1;3;707,432;-6186,441
9;11;2;3;706,327;-6153,367
9;11;3;3;705,219;-6119,079
9;11;4;3;704,598;-6086,618
9;11;5;3;705,397;-6065,456
9;11;0;4;700,741;-6303,457
9;11;1;4;699,491;-6265,945
9;11;2;4;697,709;-6214,469
9;11;3;4;696,54;-6157,966
9;11;4;4;697,487;-6116,143
9;11;5;4;700,417;-6096,934
9;11;0;5;705,068;-6359,466
9;11;1;5;703,855;-6321,634
9;11;2;5;702,462;-6277,456
9;11;3;5;701,025;-6231,143
9;11;4;5;699,543;-6181,121
9;11;5;5;699,545;-6141,626
9;11;0;6;702,473;-6373,497
9;11;1;6;701,137;-6333,662
9;11;2;6;699,5;-6285,231
9;11;3;6;697,706;-6228,93
9;11;4;6;697,051;-6178,618
9;11;5;6;698,072;-6150,507
9;11;0;7;694,087;-6387,653
9;11;1;7;692,144;-6335,951
9;11;2;7;690,399;-6274,966
9;11;3;7;689,87;-6214,71
9;11;4;7;690,375;-6164,629
9;11;5;7;691,755;-6134,956
9;11;0;8;700,296;-6399,591
9;11;1;8;698,607;-6353,72
9;11;2;8;696,961;-6300,449
9;11;3;8;696,199;-6243,987
9;11;4;8;695,792;-6193,949
9;11;5;8;695,995;-6160,106
9;12;0;0;729,433;-6064,712
9;12;1;0;728,95;-6045,682
9;12;2;0;728,775;-6033,352
9;12;3;0;728,727;-6029,055
9;12;4;0;728,411;-6024,041
9;12;5;0;727,815;-6013,575
9;12;0;1;729,491;-6104,027
9;12;1;1;729,011;-6085,847
9;12;2;1;728,716;-6070,245
9;12;3;1;728,442;-6058,28
9;12;4;1;728,088;-6049,161
9;12;5;1;727,848;-6038,352
9;12;0;2;729,706;-6152,265
9;12;1;2;729,078;-6128,946
9;12;2;2;728,662;-6108,892
9;12;3;2;728,491;-6097,356
9;12;4;2;728,185;-6087,865
9;12;5;2;727,584;-6075,571
9;12;0;3;725,459;-6210,573
9;12;1;3;724,714;-6184,893
9;12;2;3;723,879;-6157,236
9;12;3;3;723,09;-6130,617
9;12;4;3;722,432;-6104,683
9;12;5;3;722,557;-6083,703
9;12;0;4;725,36;-6313,24
9;12;1;4;724,486;-6282,386
9;12;2;4;723,222;-6241,562
9;12;3;4;721,869;-6198,423
9;12;4;4;720,958;-6160,4
9;12;5;4;721,154;-6135,104
9;12;0;5;722,558;-6341,277
9;12;1;5;721,699;-6309,556
9;12;2;5;720,584;-6269,125
9;12;3;5;719,477;-6229,185
9;12;4;5;718,253;-6189,418
9;12;5;5;718,232;-6156,52
9;12;0;6;725,527;-6375,715
9;12;1;6;724,608;-6343,037
9;12;2;6;723,283;-6299,24
9;12;3;6;722,129;-6258,226
9;12;4;6;721,108;-6222,748
9;12;5;6;720,449;-6194,361
9;12;0;7;720,287;-6390,365
9;12;1;7;719,101;-6353,564
9;12;2;7;717,653;-6307,679
9;12;3;7;716,216;-6261,161
9;12;4;7;715,101;-6221,725
9;12;5;7;714,506;-6192,044
9;12;0;8;712,959;-6383,207
9;12;1;8;711,534;-6342,287
9;12;2;8;709,6;-6286,424
9;12;3;8;708,133;-6228,923
9;12;4;8;708,387;-6188,321
9;12;5;8;709,022;-6161,396
9;13;0;0;748,581;-6065,214
9;13;1;0;748,4;-6052,457
9;13;2;0;748,443;-6046,852
9;13;3;0;748,626;-6048,676
9;13;4;0;748,634;-6051,331
9;13;5;0;748,26;-6049,026
9;13;0;1;743,431;-6101,338
9;13;1;1;743,103;-6086,561
9;13;2;1;742,994;-6075,531
9;13;3;1;742,848;-6068,909
9;13;4;1;742,543;-6063,893
9;13;5;1;742,238;-6055,556
9;13;0;2;748,483;-6153,894
9;13;1;2;748,001;-6133,879
9;13;2;2;747,777;-6119,366
9;13;3;2;747,846;-6114,245
9;13;4;2;747,733;-6110,987
9;13;5;2;747,361;-6106,213
9;13;0;3;747,046;-6216,557
9;13;1;3;746,463;-6194,966
9;13;2;3;746,066;-6174,857
9;13;3;3;745,697;-6157,895
9;13;4;3;745,29;-6144,839
9;13;5;3;744,829;-6133,446
